title,seasons_count,episodes_count,ratings,vote_count,popularity,original_language,overview,genres,production_details,air_years,cast,keywords,imdb_id,networks,country_of_origin
Rookie Blue,6,74,7.7,19000,146.3,English,"Ambitious young cops try to prove themselves in their high-stakes careers, in which the smallest mistake can have deadly consequences. At the core of the close-knit group is perfectionist Andy McNally, whose father was a homicide detective before he burned out on the job. The series follows Andy and her four colleagues -- Dov Epstein, Gail Peck, Traci Nash and Chris Diaz -- as they experience the trials, triumphs and tribulations of police work, as well as its effect on their personal lives.",Drama,Shaw Media,2010-2015,"Missy Peregrym: Andy McNally, Gregory Smith: Dov Epstein, Enuka Okuma: Traci Nash, Travis Milne: Chris Diaz, Charlotte Sullivan: Gail Peck, Matt Gordon: Oliver Shaw, Ben Bass: Sam Swarek, Peter Mooney: Nick Collins, Lyriq Bent: Frank Best, Melanie Nicholls-King: Noelle Williams","andy, cop, officer, day, impact, new world, official, toronto, police officer, tackle, prepare, rookie, ready, day case, unit, choice, city, role, define, division, elite, case, fresh, life, great, challenge, relationship, learn, personal, police, play, high, friend, young, new, world",tt1442065,Global TV,Canada
My Mad Fat Diary,3,16,8.4,19000,159.6,English,"Set in 1996 in Lincolnshire, the show tells the tragic and humorous story of a very troubled young girl Rae, who has just left a psychiatric hospital, where she has spent four months after attempting suicide, begins to reconnect with her best friend Chloe and her group, who are unaware of Rae's mental health and body image problems, believing she was in France for the past four months.","Comedy, Drama",Tiger Aspect; 3,2013-2015,"Ciara Baxendale: Izzy, Dan Cohen: Archie, Jodie Comer: Chloe, Darren Evans: Danny Two Hats, Ian Hart: Dr Kester Gill, Nico Mirallegro: Finn, Jordan Murphy: Chop, Sharon Rooney: Rae, Claire Rushbrook: Rae's Mum, Bamshad Abedi-Amin: Karim …","diary, write, british, teenage, television, base, series",tt2407574,E4,United Kingdom
Happy Tree Friends,11,194,7.0,19000,133.0,English,"This action and adventure comedy is drawn in simple appearance and combines cute forest animals with extreme graphic violence. Each episode revolves around the characters enduring accidental events of bloodshed, pain, dismemberment and/or death.","Animation, Comedy, Sci-Fi & Fantasy","Mondo Mini Shows, Fatkat Animation Studios, Mondo Media",1999-2014,"David Winn: Lumpy …, Ellen Connell: Petunia …, Warren Graff: Toothy …, Kenn Navarro: Cuddles …, Aubrey Ankrum: Pop …, Nica Lorber: Flaky, Liz Stewart: Sniffles, Michael 'Lippy' Lipman: Nutty, Francis Carr: Russell …, Peter Herrmann: Disco Bear","thing, creature, cause, group, happen, death, series",tt0770762,G4,"United States, Canada"
666 Park Avenue,1,13,6.8,19000,129.2,English,"What would you do to have everything you desire? Step inside 666 Park Avenue,  New York's most seductive address. We all have some burning needs,  desires and ambitions. For the residents of The Drake, the premier  apartment building on Manhattan's Upper East Side, these will all be met  – for a price – courtesy of the building's mysterious owner, Gavin  Doran. But be careful what you wish for, because the  price you have to pay is your soul.","Sci-Fi & Fantasy, Drama, Mystery",,2012-2013,"Rachael Taylor: Jane Van Veen …, Dave Annable: Henry Martin, Robert Buckley: Brian Leonard, Samantha Logan: Nona Clark, Mercedes Mason: Louise Leonard, Erik Palladino: Tony DeMeo, Helena Mattsson: Alexis Blume, Vanessa Williams: Olivia Doran, Terry O'Quinn: Gavin Doran, Misha Kuznetsov: Kandinsky","vampire, diary, wish, home, dream, true, girl, come, make, unravel, soul, upper, van, williams, mid, angel, entertainment, drama, building, burn, couple, desperate, little, grey, embrace, manhattan, martin, obsession, resident, sex, jane, david, revenge, feel, pay, lie, desire, dark, lose, supernatural, welcome, think, game, sister, evil, henry, allow, deal, brother, mystery",tt2197797,ABC,United States
The Lying Game,2,30,7.3,19000,138.7,English,"Emma, a kind-hearted foster kid who can't catch a break, finds out she has an identical twin sister, Sutton, who - unlike Emma - was adopted by wealthy parents and is seemingly living an ideal life. After their initial meeting, Sutton talks Emma into stepping into her life for a few days while she pursues a lead on their birth mother. Initially excited to do this favor for her sister, Emma soon learns that Sutton has gone missing and could be in trouble. Now, Emma must decide whether to come clean to Sutton's family and risk her own safety in the hope of uncovering her twin sister's true whereabouts, along with the truth about why they were separated in the first place.","Drama, Mystery",,2011-2013,"Alexandra Chando: Emma Becker …, Andy Buckley: Ted Mercer, Allie Gonino: Laurel Mercer, Alice Greczyn: Madeline 'Mads' Rybak …, Blair Redford: Ethan Whitehorse, Helen Slater: Kristin Mercer, Adrian Pasdar: Alec Rybak, Christian Alexander: Thayer Rybak, Tyler Christopher: Dan Whitehorse, Charisma Carpenter: Rebecca Sewell …","emma, sister, wealthy, emma decide, step, pursue, official, safety, clean, adopt, catch break, favor, kind, risk, separate, hearted, uncover, miss, hope, talk, trouble, kid, life, catch, truth, learn, decide, parent, break, mother, place, true, play, come, day, live, lead, go, follow, family, find",tt1798274,ABC Family,United States
Missing You,1,21,6.1,19000,115.9,Korean,"High school sweethearts Jung-woo and Soo-yeon were separated in a horrifying tragedy that continues to weigh down on them as adults. Now a guilt-ridden detective, Jung-woo has been desperately searching for Soo-yeon for years, but when he crosses paths with her again, she has already become someone else with a new identity.","Drama, Mystery",Victory Contents,2012-2013,"Rosalind Eleazar: Kat Donovan, Ashley Walters: Josh Buchanan, Richard Armitage: Ellis Stagger, Mary Malone: Aqua Vanech, Jessica Plummer: Stacey Embalo, Charlie Hamblett: Charlie Pitts, Catherine Ayers: Nia Emine, Felix Garcia Guyer: Reynaldo, Oscar Kennedy: Brendan Fells, Lenny Henry: Clint Donovan","app, donovan, date, detective, father, murder, bury, disappear hear, bury secret, unravel, see, profile, world, hear, uncover, disappear, past, mystery, face, secret, force, lead, year, love, murder detective, past year, find, life",tt31019484,MBC,United Kingdom
Flashpoint,5,75,7.8,19000,148.2,English,"The Strategic Response Unit (SRU) is an elite team of cops who specialize in high-risk critical incidents. Trained in tactics and psychology, they deal with extreme situations, where split-second decisions could save a life...or cost one.","Drama, Action & Adventure","Pink Sky Entertainment, Avamar Entertainment, Bell Broadcast and New Media Fund",2008-2013,"Hugh Dillon: Constable Ed Lane, Amy Jo Johnson: Constable Jules Callaghan, David Paetkau: Constable Sam Braddock, Sergio Di Zio: Constable Michelangelo 'Spike' Scarlatti, Enrico Colantoni: Sergeant Gregory 'Greg' Parker, Michael Cram: Constable Kevin 'Wordy' Wordsworth …, Tattiawna Jones: Constable Winnie Camden, Mark Taylor: Constable Lewis 'Lou' Young, Olunike Adeliyi: Constable Leah Kerns, Janaya Stephens: Sophie Lane","unit, job, toronto, response, risk, team, inspire, state art, cop, building, emergency, inspector, state, art, talk, task, rescue, teen, gang, different, rule, police, force, know, life, word, emotional, gift, follow life, carry, charge, fill, constable, lover, push, understand, weapon, toll family, variety, toll, try save, psychological, heavy, handle, kind, choice, band, senior, elite, department",tt1059475,CTV,Canada
Battlestar Galactica: Blood & Chrome,1,10,6.9,19000,131.1,English,"The first Cylon war has been raging for 10 years and a young Ensign William Adama joins the fleet. He's disappointed not to be assigned to a fighter but to a freighter. His co-pilot, Lt. Coker Fasjovic, isn't too keen on having a rookie flying his aircraft as he has only a short time before he again becomes a civilian. Their cargo is a civilian scientist, Dr. Becca Kelly, but they no sooner leave than she has new orders for them and a new destination. She is less than forthcoming about just what her secret mission is but Adama is keen, particularly as it involves going into Cylon controlled space. Nothing is as it seems however.",Sci-Fi & Fantasy,,2012-2012,"Luca Pasqualino: William Adama (as Luke Pasqualino), Ben Cotton: Coker Fasjovik, Lili Bordán: Dr. Becca Kelly, Jill Teed: Commander Ozar, John Pyper-Ferguson: Xander Toth, Brian Markinson: Silas Nash, Karen LeBlanc: Jenna, Sebastian Spence: Lt. Jim Kirby, Ty Olsson: Osiris Helmsman, Zak Santiago: Captain Diaz","assign, war, william, pilot, keen, transport, young, mission, join, new, action, rookie, aircraft, fighter, garykmcd, fleet, space, short, fly, adventure, involve, fresh, train, grantss, control, order, run, want, secret, base, leave, go, year, time",tt1704292,YouTube,United States
Boss,2,18,8.1,19000,153.9,English,"Boss is an American political drama television serial created by Farhad Safinia. The series stars Kelsey Grammer as Tom Kane, the mayor of Chicago, who has recently been diagnosed with dementia with Lewy bodies, a degenerative neurological disorder.","Drama, War & Politics","Category 5 Entertainment, Lionsgate Television, Roya Productions, Old Friends Productions, Boss Kane Productions, Grammnet NH Productions",2011-2012,"Kelsey Grammer: Mayor Tom Kane, Connie Nielsen: Meredith Kane, Hannah Ware: Emma Kane, Jeff Hephner: Ben Zajac, Kathleen Robertson: Kitty O'Neill, Troy Garity: Sam Miller, Rotimi: Darius Morrison, James Vincent Meredith: Alderman Ross, Martin Donovan: Ezra Stone, Mary Hollis Inboden: Jackie …","political, wrong, kitty, marriage, notice, career, emma, build, season, suspect, question, daughter, begin, power, wife, remain, prepare, respect, project, repair, remove, uncover secret, find question, donovan, corrupt, charge, able, action, ask question, conceal, forget, enemy, ground, govern, intense, mind, neill, martin, ian, key, continue, foundation, machine, beat, position, ambition, state, unusual, ask, aware",tt1833285,Starz,United States
Metalocalypse,4,62,8.3,19000,157.7,English,"Metalocalypse is an American animated television series, created by Brendon Small and Tommy Blacha, which premiered on August 6, 2006 on Adult Swim. The television program centers around the larger than life death metal band Dethklok, and often portrays dark and macabre content, including such subjects as violence, death, and the drawbacks of fame, with extremely hyperbolic black humor; which accounts for the cartoon's consistent TV-MA rating. The show can be seen as both a parody and celebration of heavy metal culture.

The music, written by guitarist/creator Brendon Small, is credited to the band, and is featured in most of the episodes. The animation is often carefully synced to the music, with the chord positions and fingering of the guitar parts shown in some detail.

One of the trademarks of the show is having the usual ""bleeps"" for extreme profanity replaced by pinch harmonics.","Animation, Comedy","Williams Street, Titmouse",2006-2012,"Brendon Small: Nathan Explosion …, Tommy Blacha: Toki Wartooth …, Mark Hamill: Senator Stampingston …, Victor Brandt: General Crozier …, Malcolm McDowell: Vater Orlaag …, Laraine Newman: News Anchor …, George Fisher: Metal Masked Assassin …, Werner Herzog: Ishnifus Meaddle, Kirk Hammett: Barkeep …, Janeane Garofalo: Abigail Remeltindrinc","band, americans, government, fame, heavy, world, william, organization, destroy, big, adventure, situation, famous, deal, successful, death, life",tt0839188,Adult Swim,United States
Spooks,10,86,8.3,19000,157.7,English,"Tense drama series about the different challenges faced by the British Security Service as they work against the clock to safeguard the nation. The title is a popular colloquialism for spies, and the series follows the work of a group of MI5 officers based at the service's Thames House headquarters, in a highly secure suite of offices known as The Grid.","Drama, Action & Adventure, Crime","BBC, Kudos; 10",2002-2011,"Peter Firth: Harry Pearce, Hugh Simon: Malcolm Wynn-Jones, Nicola Walker: Ruth Evershed, Rupert Penry-Jones: Adam Carter, Miranda Raison: Jo Portman, Hermione Norris: Ros Myers, Rory MacGregor: Colin Wells, David Oyelowo: Danny Hunter, Richard Armitage: Lucas North …, Raza Jaffrey: Zafar Younis","organization, mission",tt0160904,BBC One,United Kingdom
InuYasha,2,193,7.9,19000,150.1,Japanese,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.","Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy, Mystery",SUNRISE,2000-2010,"Kappei Yamaguchi: Inuyasha, Richard Ian Cox: Inuyasha, Sarah Hauser: Ayame …, Darren Pleavin: InuYasha (Animax Asia dub), Satsuki Yukino: Kagome Higurashi, Moneca Stori: Kagome Higurashi, Kumiko Watanabe: Shippou, Jillian Michaels: Shippo …, Kirby Morrow: Miroku, Kôji Tsujitani: Miroku","demon, body, half, japan, name, year, power, feudal, dog, attack, help, girl, family, fall, exist, wrong, wound, feudal japan, ground, shoot, burn, live, meet, work, village, ancient, die, past, hand, year old, history, battle, call, stop, end, powerful, use, old, day, time, young, love, joseph, word, guard, fill, forest, believe, award win, mal rewrite",tt0290223,"ANIMAX, Nippon TV, YTV",Japan
Late Night with Conan O'Brien,16,2724,8.2,19000,155.8,English,"Late Night with Conan O'Brien is an American late-night talk show hosted by Conan O'Brien that aired 2,725 episodes on NBC between 1993 and 2009. The show featured varied comedic material, celebrity interviews, and musical and comedy performances. Late Night aired weeknights at 12:37 am Eastern/11:37 pm Central and 12:37 am Mountain in the United States. From 1993 until 2000, Andy Richter served as O'Brien's sidekick; following his departure, O'Brien was the show's sole featured performer. The show's house musical act was The Max Weinberg 7, led by E Street Band drummer Max Weinberg.

The second incarnation of NBC's Late Night franchise, O'Brien's debuted in 1993 after David Letterman, who hosted the first incarnation of Late Night, moved to CBS to host Late Show opposite The Tonight Show. In 2004, as part of a deal to secure a new contract, NBC announced that O'Brien would leave Late Night in 2009 to succeed Jay Leno as the host of The Tonight Show. Jimmy Fallon began hosting his version of Late Night on March 2, 2009.","Comedy, Talk","Universal Media Studios, Broadway Video, Conaco, NBC Studios, Universal Television; Late Night (franchise)",1993-2009,"Conan O'Brien: Self - Host …, The Max Weinberg 7: Themselves - House Band …, Andy Richter: Self - Co-Host …, Joel Godard: Self - Announcer …, Max Weinberg: Self - Bandleader …, Brian McCann: Preparation H Raymond …, Brian Stack: Frankenstein …, Robert Smigel: Triumph the Insult Comic Dog …, Richie 'La Bamba' Rosenberg: Self - Max Weinberg 7: Trombone …, Jimmy Vivino: Self - Max Weinberg 7: Guitar …","late, night, talk, celebrity, musical number, visit, celebrity interview, interview musical, competition, number, interview, musical, yahoo com, yahoo, odd, walk, david, host, guest, com, comedy, star, use, step",tt0106052,NBC,United States
Reba,6,125,6.8,19000,129.2,English,"After her dentist husband of 20 years leaves her for his dental hygienist, Reba Hart's seemingly perfect world is turned upside down.​",Comedy,20th Century Fox Television,2001-2007,"Reba McEntire: Reba Hart, JoAnna Garcia Swisher: Cheyenne Hart-Montgomery, Steve Howey: Van Montgomery, Melissa Peterman: Barbra Jean Booker Hart, Christopher Rich: Brock Hart, Mitch Holleman: Jake Hart, Scarlett Pomers: Kyra Hart, Alena LeBerger: Elizabeth Montgomery, Gabrielle LeBerger: Elizabeth Montgomery, Alexander McClellan: Henry Hart","navigate, single mom, mom, star, single, life, new, perfect, sweet, mix, new life, jean, navigate new, kid, hand, husband, parent, help, wife",tt0284722,"The WB, The CW",United States
Afro Samurai,1,5,7.6,19000,144.4,English,"In a futuristic Japan where conflicts are settled by the sword, Afro Samurai must avenge his father's murder by challenging a powerful warrior.","Animation, Action & Adventure, Drama","GONZO, Fuji Television Network",2007-2007,"Samuel L. Jackson: Afro Samurai …, Phil LaMarr: Brother 1 …, Yuri Lowenthal: Kuma …, Greg Eagles: Brother 6 …, Terrence 'T.C.' Carson: Sword Master …, John DiMaggio: Brother 2 …, Ron Perlman: Justice, S. Scott Bullock: Dharman, Fred Tatasciore: Juzo …, Dave Wittenberg: Assassin …","samurai, black, father, justice, feudal japan, fighter, feudal, revenge, japan, mission, challenge, death, gun, part, lonely, kill father, monk, warrior, bar, enemy, introduce, hunter, world, strange, walk, position, path, hearted, encounter, seek, body, need, travel, start, name, face, way, kill, happen, go, man, friend",tt0465316,Spike,"United States, Japan"
Black Lagoon,1,24,7.9,19000,150.1,Japanese,"The story follows a team of pirate mercenaries known as the Lagoon Company, that smuggles goods in and around the seas of Southeast Asia in the early to mid 1990s. Their base of operations is located in the fictional harbor city of Roanapur in southeast Thailand near the border of Cambodia.","Action & Adventure, Animation, Drama, Crime","Studio Fuga, Madhouse, Sound Box, Atelier BWCA",2006-2006,"Megumi Toyoguchi: Revy, Daisuke Namikawa: Rock, Brad Swaile: Rock, Maryke Hendrikse: Revy …, Yôichi Nishjima: Fritz Stanford …, Tôru Nara: Okazaki …, Yûichi Nakamura: Hanada …, Brian Drummond: Benny …, Hiroaki Hirata: Benny, Tsutomu Isobe: Dutch","wait, stick, corporate, recruit, find, japanese, modern day, crew, write, life, modern, leader, gang, join, dead, old, leave, day",tt0962826,"Sun TV, Chiba TV",Japan
Da Ali G Show,3,18,8.0,19000,152.0,English,"Da Ali G Show is a British satirical television series created by and starring English comedian Sacha Baron Cohen. In the series, Baron Cohen plays three unorthodox journalists: faux-streetwise poseur Ali G, Kazakh reporter Borat Sagdiyev, and gay Austrian fashion enthusiast Brüno Gehard. These characters conduct real interviews with unsuspecting people, many of whom are celebrities, high-ranking government officials, and other well-known figures, during which they are asked absurd and ridiculous questions.","Comedy, Talk","Four by Two Films, Talkback; 3",2000-2004,"Sacha Baron Cohen: Ali G …, Steve Ellington: Self …, T.N.T. Crew: Musicians …, Charles Dicagno: Self …, James A. Baker: Self, Marlin Fitzwater: Self, Buzz Aldrin: Self …, Tamzin Outhwaite: Melanie …, Jarvis Cocker: Self, Arthur Danto: Self","interview, reporter, drug, guest, appear, celebrity, crime, americans, issue, guard, subject, variety, favor, gay, aware, political, mix, jean, america, american, boy, system, net, grantss, hide, reveal, catch, challenge, society, comedy, british, anonymous, include, television, play, set, people, world",tt0241088,"Channel 4, HBO","United Kingdom, United States"
Hellsing,1,13,7.7,19000,146.3,Japanese,"Vampires exist. It is the duty of Hellsing, an organization sponsored by the British government, to hide that frightening fact and protect the blissfully unaware populace. Along with its own personal army, Hellsing also has a few secret weapons. Alucard, an incredibly powerful vampire, has been controlled by Hellsing for years. Although he dislikes being a servant to the Hellsing family, he certainly enjoys his job as Hellsing’s vampire exterminator. Seras is a fledgling vampire and a former police woman. Although reluctant to embrace her new self, she is still a valuable member of the organization. Integra Hellsing, the current leader, is usually fully capable of fulfilling her duty, but lately, vampire activity has been on the rise. Unfortunately, the cause is more alarming than anything she could have imagined...","Action & Adventure, Animation, Mystery, Sci-Fi & Fantasy",GONZO,2001-2002,"Jôji Nakata: Alucard, Yoshiko Sakakibara: Integra, Fumiko Orikasa: Seras Victoria, Steven Brand: Alexander Anderson …, Ralph Lister: Walter C. Dornez, Crispin Freeman: Alucard, Katie Gray: Seras Victoria, Victoria Harwood: Sir Integra Wingates Hellsing, Motomu Kiyokawa: Walter C. Dollneazz, William Morgan Sheppard: Peter Fargason","vampire, human, supernatural, organization, creature, evil, new, turn, rewrite, police officer, pity, wound, stalk, van, mal, innocent, hunter, embrace, decision, aid, arm, give, populace, recruit, hunt, officer, mal rewrite, foundation, yahoo, yahoo com, drug, sell, ancient, chaos, new life, plague, offer, odd, night, choice, modern day, monster, prey, die, line, england, survive, james, leader, rise",tt0325547,Fuji TV,Japan
Superman: The Animated Series,3,54,8.1,19000,153.9,English,"Superman, an incredibly powerful alien from the planet Krypton, defends Metropolis from supercriminals. Superman hides his identity behind the glasses of Clark Kent; a mild-mannered reporter for the newspaper the Daily Planet. At the Daily Planet Superman works with fellow reporter Lois Lane and photographer Jimmy Olsen.","Animation, Action & Adventure, Sci-Fi & Fantasy","Warner Bros. Animation, DC Comics; animated universe",1996-2000,"Tim Daly: Clark Kent …, Joseph Bologna: Dan Turpin, Dana Delany: Lois Lane, David Kaufman: Jimmy Olsen, Clancy Brown: Lex Luthor, Lauren Tom: Angela Chen, Victor Brandt: Professor Hamilton, Corey Burton: Brainiac …, George Dzundza: Perry White, Brad Garrett: Bibbo …","superman, krypton, animate, universe, son, sinister, man steel, backdrop, classic, combat, planet krypton, planet, present, steel, earth, continue, innocent, share, honor, define, victim, bring, rescue, great, home, anonymous, protect, television, base, day, live, set, know, time, man, series, new, world",tt0115378,The WB,"United States, Japan, South Korea"
Serial Experiments Lain,1,13,8.1,19000,153.9,Japanese,"Lain—driven by the abrupt suicide of a classmate—logs on to the Wired and promptly loses herself in a twisted mass of hallucinations, memories, and interconnected-psyches.","Animation, Drama, Sci-Fi & Fantasy, Mystery","Pioneer LDC, Triangle Staff",1998-1998,"Kaori Shimizu: Lain Iwakura, Bridget Hoffman: Lain Iwakura, Dan Lorge: Additional Voices, Randy McPherson: Additional Voices …, Ali Moriizumi: DJ (Present Day announcer), Ayako Kawasumi: Mika Iwakura, Yôko Asada: Arisu Mizuki, Patricia Ja Lee: Mika Iwakura, Emilie de Azevedo Brown: Arisu Mizuki, Chiharu Tezuka: Reika Yamamoto","girl, know, begin, classmate, suicide, receive, ask, strange, commit, name, turn, school, go, man, handle, obsess, response, open, introvert, disturbing, exist, bizarre, begin appear, concept, ask question, similar, old girl, know know, meaning, realm, plunge, black, thing, week, experience, fly, go day, quiet, network, encounter, desire, year old, identity, need, reality, body, event, appear, question, anonymous",tt0500092,TV Tokyo,Japan
Highlander: The Series,6,119,7.2,19000,136.8,English,"Duncan MacLeod cannot die -- he is a 400-year-old immortal, who has seen his share of humanity's history. Still, he risks his life in battle against other immortals and tries to save people from harm.","Sci-Fi & Fantasy, Drama, Action & Adventure",Gaumont International; sequel to the 1986 feature film highlander,1992-1998,"Adrian Paul: Duncan MacLeod, Stan Kirsch: Richard H. 'Richie' Ryan, Jim Byrnes: Joe Dawson, Peter Wingfield: Adam Pierson …, Alexandra Vandernoot: Tessa Noel …, Elizabeth Gracen: Amanda Darieux, Lisa Howard: Dr. Anne Lindsey, Philip Akin: Charlie DeSalvo, Michel Modo: Maurice, Peter Hudson: James Horton","kill, season, take, society, secret, live, try, half, follow, normal life, girlfriend, north, stalk, street, take place, inspire, dispose, duty, assign, amanda, alive year, conceal, follow life, france, joe, attempt, occasional, success, yahoo com, yahoo, alive, feel, watch, america, century, mean, kid, french, net, normal, life, learn, head, com, modern, place, true, star, run, want",tt0103442,Syndication,"Canada, France"
The Shining,1,3,6.1,19000,115.9,English,"The Shining is a three-part television miniseries based on Stephen King's novel of the same name. Directed by Mick Garris from King's teleplay, the series was first aired in 1997.","Sci-Fi & Fantasy, Drama","Lakeside Productions, Warner Bros. Television; The Shining (franchise)",1997-1997,"Rebecca De Mornay: Winifred Torrance, Steven Weber: John Torrance, Wil Horneff: Tony, Courtland Mead: Danny Torrance, Cynthia Garris: 217 Woman, Mickey Giacomazzi: 2nd Waiter …, Melvin Van Peebles: Richard Hallorann, John Durbin: Horace Derwent …, Pat Hingle: Pete Watson, Elliott Gould: Stuart Ullman","recover, evil, entire, family, son, job, wife, take, meaning, opportunity, toll, resort, toll family, writer, catch break, intention, adaptation, remote, king, manipulate, prey, piece, net, demon, guest, dark, think, track, seek, novel, catch, break, get, television, end, long, way, fall, power, school, go, work, people, follow, find, life",tt0118460,ABC,United States
The Twilight Zone,5,156,6.0,19000,114.0,English,"A series of unrelated stories containing drama, psychological thriller, fantasy, science fiction, suspense, and/or horror, often concluding with a macabre or unexpected twist.","Sci-Fi & Fantasy, Mystery, Drama","CBS Productions, Cayuga Productions",1959-1964,"Jordan Peele: The Narrator …, David Epstein: Blurryman, Kelly Ann Woods: Dana …, Mark Silverman: Rod Serling, Amanda Burke: Mrs. Ruger …, Jacob Machin: Bartender …, Simon Chin: Gluck …, Paolo Maiolo: Officer Stewart …, Matthew Mandzij: Father …, Nagin Rezaiean: Clerk …","version, fiction, classic, feature, tale, horror, anthology series, anthology, mystery, series",tt2583620,CBS,United States
Supacell,2,7,7.0,19000,133.0,English,A group of seemingly ordinary people from South London unexpectedly develop super powersA group of seemingly ordinary people from South London unexpectedly develop super powersA group of seemingly ordinary people from South London unexpectedly develop super powers,"Superhero, Action, Adventure, Drama, Sci-Fi",New Wave Agency,2024,"Tosin Cole: Michael Lasaki-Brown, Nadine Mills: Sabrina Clarke, Josh Tedeku: Tazer, Eric Kofi Abrefa: Andre Simpson, Adelayo Adedayo: Dionne Ofori, Calvin Demba: Rodney Cullen, Rayxia Ojo: Sharleen Clarke, Ky-Mani Carty: AJ Simpson, Michael Salami: Gabriel, Giacomo Mancini: Spud","south, develop, london, group, power, impact, black, people, bring, ordinary, deal, man, superpower, develop superpower, special, protect love, notice, normal, life, agent, ability, protect, powerful, love",tt16283758,,United Kingdom
Horimiya,1,13,8.0,19000,152.0,Japanese,Two very different people - an academically successful schoolgirl and a quiet loser schoolboy - meet and develop a friendship.Two very different people - an academically successful schoolgirl and a quiet loser schoolboy - meet and develop a friendship.Two very different people - an academically successful schoolgirl and a quiet loser schoolboy - meet and develop a friendship.,"Anime, Coming-of-Age, Romantic Comedy, Shōnen, Slice of Life, Teen Comedy, Teen Drama, Teen Romance, Animation, Comedy","Aniplex, CloverWorks",2021,"Haruka Tomatsu: Kyoko Hori, Kôki Uchiyama: Izumi Miyamura, Seiichiro Yamashita: Toru Ishhikawa, Alejandro Saab: Izumi Miyamura, Zeno Robinson: Toru Ishikawa, Marisa Duran: Kyoko Hori, Lanling Li: Kakeru Sengoku, Yurie Kozakai: Yuki Yoshikawa, Daiki Yamashita: Shu Iura, Anairis Quinones: Yuki Yoshikawa …","school, high school, high, classmate, come average, ultra, random, glance, similar, sweet, attractive, young man, develop, average, popular, schoolgirl, tale, boy, quiet, reality, hand, different, successful, bad, girl, run, begin, come, meet, people, man, young, family, life",tt13103134,,Japan
A Good Girl's Guide to Murder,2,7,6.8,19000,129.2,English,A teenage girl uncovers secrets in her small town.A teenage girl uncovers secrets in her small town.A teenage girl uncovers secrets in her small town.,"Whodunnit, Crime, Drama, Mystery, Thriller","Moonage Pictures, ZDFneo, British Broadcasting Corporation (BBC)",2024,"Emma Myers: Pip Fitz-Amobi, Zain Iqbal: Ravi Singh, Asha Banks: Cara Ward, Raiko Gohara: Zach Chen, Jude Morgan-Collie: Connor Reynolds, Yali Topol Margalith: Lauren Gibson, Henry Ashton: Max Hastings, Yasmin Al-Khudhairi: Naomi Ward, Mathew Baynton: Elliot Ward, Gary Beadle: Victor Amobi","town, murder, small town, sal, uncover secret, bell, year, case, uncover, small, secret, know, stay, feeling, final, see, base novel, tragedy, teenage girl, project, schoolgirl, haunt, popular, boyfriend, senior, talk, novel, close, truth, killer, grow, high school, teenage, real, police, start, want, girl, kill, happen, school, base, day, high, day case",tt28118211,,"United Kingdom, Germany"
The Agency: Central Intelligence,2,11,7.4,19000,140.6,English,"Follows a world of even deeper intrigue and subterfuge, with characters fighting their own battles as they grapple with existential threats to the nation and the world.Follows a world of even deeper intrigue and subterfuge, with characters fighting their own battles as they grapple with existential threats to the nation and the world.Follows a world of even deeper intrigue and subterfuge, with characters fighting their own battles as they grapple with existential threats to the nation and the world.","Political Drama, Political Thriller, Spy, Drama, Thriller","101 Studios, Federation Entertainment, MTV Entertainment Studios",2024,"Michael Fassbender: Martian, Jeffrey Wright: Henry Ogletree, Jodie Turner-Smith: Sami Zahir, Katherine Waterston: Naomi, Harriet Sansom Harris: Dr. Blake, John Magaro: Owen, Saura Lightfoot-Leon: Danny, Andrew Brooke: Grandpa, India Fowler: Poppy, Reza Brojerdi: Reza","intrigue, espionage, career, international, nation, agency, brianfabulous, world, cia, romance, undercover, game, station, deep, identity, agent, heart, mission, london, threat, real, battle, order, return, fight, leave, love, follow, life",tt26656917,,"United States, France"
Jimmy Kimmel Live!,22,2632,6.4,18000,115.2,English,"Jimmy Kimmel Live! is an American late-night talk show, created and hosted by Jimmy Kimmel and broadcast on ABC.","Talk, Comedy",,2003-2023,"Jimmy Kimmel: Self - Host …, Cleto and the Cletones: Themselves - House Band …, Guillermo Rodriguez: Self …, Lou Wilson: Self - Announcer, Paul E. Raff: Pablo Suzuki …, Cleto Escobedo III: Self - Musical Director …, Dicky Barrett: Self - Announcer …, Frank Potenza: Self …, Sal Iacono: Self …, Anthony Anderson: Self - Guest …","include, jimmy, segment, celebrity, friend, sal, uncle, bit, emmy, cousin, childhood friend, band, thing, unusual, week, house, guest, welcome, win, personal, need, childhood, comedy, family friend, bad, run, death, lead, time, people, family",tt0320037,ABC,United States
